

*************************************************************************************** 


AST: 

NodeSymbol			Lexeme			Line No			Node Token			ValueIfNumber			Parent			isleaf
ID 			 n 			 74 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 74 			 ID 			 ---- 			 PLUS 			 No
ID 			 m 			 74 			 ID 			 ---- 			 var_id_num 			 Yes
assignmentStmt 			 ---- 			 76 			 ID 			 ---- 			 statements 			 No
ID 			 E 			 76 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueARRStmt 			 ---- 			 76 			 SQBO 			 ---- 			 assignmentStmt 			 No
index 			 ---- 			 76 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 NUM 			 76 			 NUM 			 7 			 index 			 Yes
expression 			 ---- 			 76 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 PLUS 			 76 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 76 			 ID 			 ---- 			 PLUS 			 No
ID 			 k 			 76 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 MINUS 			 76 			 MINUS 			 ---- 			 PLUS 			 No
var_id_num 			 ---- 			 76 			 NUM 			 12 			 MINUS 			 No
---- 			 NUM 			 76 			 NUM 			 12 			 var_id_num 			 Yes
---- 			 MUL 			 76 			 MUL 			 ---- 			 MINUS 			 No
var_id_num 			 ---- 			 76 			 ID 			 ---- 			 MUL 			 No
ID 			 Q 			 76 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 76 			 NUM 			 10 			 MUL 			 No
---- 			 NUM 			 76 			 NUM 			 10 			 var_id_num 			 Yes
---- 			 BREAK 			 70 			 CASE 			 ---- 			 caseStmts 			 Yes
---- 			 CASE 			 78 			 CASE 			 ---- 			 caseStmts 			 Yes
value 			 ---- 			 78 			 CASE 			 ---- 			 caseStmts 			 No
---- 			 TRUE 			 78 			 TRUE 			 ---- 			 value 			 Yes
statements 			 ---- 			 78 			 CASE 			 ---- 			 caseStmts 			 No
assignmentStmt 			 ---- 			 78 			 ID 			 ---- 			 statements 			 No
ID 			 m 			 78 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 78 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 78 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 MINUS 			 78 			 MINUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 78 			 ID 			 ---- 			 MINUS 			 No
ID 			 m 			 78 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 78 			 ID 			 ---- 			 MINUS 			 No
ID 			 n 			 78 			 ID 			 ---- 			 var_id_num 			 Yes
ioStmt 			 ---- 			 79 			 PRINT 			 ---- 			 statements 			 No
---- 			 PRINT 			 79 			 PRINT 			 ---- 			 ioStmt 			 Yes
var 			 ---- 			 79 			 PRINT 			 ---- 			 ioStmt 			 No
var_id_num 			 ---- 			 79 			 ID 			 ---- 			 var 			 No
ID 			 m 			 79 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 BREAK 			 78 			 CASE 			 ---- 			 caseStmts 			 Yes
default 			 ---- 			 62 			 SWITCH 			 ---- 			 conditionalStmt 			 No
statements 			 ---- 			 81 			 DEFAULT 			 ---- 			 default 			 No
assignmentStmt 			 ---- 			 81 			 ID 			 ---- 			 statements 			 No
ID 			 E 			 81 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueARRStmt 			 ---- 			 81 			 SQBO 			 ---- 			 assignmentStmt 			 No
index 			 ---- 			 81 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 NUM 			 81 			 NUM 			 9 			 index 			 Yes
expression 			 ---- 			 81 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 PLUS 			 81 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 81 			 ID 			 ---- 			 PLUS 			 No
